發話人,NPC ID,表情,"邏輯/條件/選項
一二三四五六七八九十一二三一二三四五六七八九十","對白
一二三四五六七八九十一二三四五六七八九十一二三",獲得道具/對話後果,備註
,,,"※跳出可閱讀書本
※名冊內容","上頭寫滿了人名、年歲、職業與一些紀錄。
幸得桐油與皮革之故，名冊保存很是乾淨，你翻到最後，方見幾行略是熟悉的紀錄——

＊阿佑＿年二四＿河東港＿粗工＿有母一人＿紕漏使得財損，遂成豕。
＊瓜財＿年二十＿河北東十里村＿無業＿有妹一人同行＿好賭而無力償還，遂成豕。
＊寶宣＿年十六＿河北東十里村＿未嫁＿有兄一人同行＿隨其兄，遂成豕。
＊阿緯＿年二十三＿城南五里＿獵戶＿無親＿成家而缺財，遂成豕。
＊王氏＿年二十五＿無＿有夫已故，賤價＿有小女一人同行，弒夫無親，遂成豕。
＊秀秀＿年八＿無＿未嫁＿有母一人同行，其母弒夫且無親，遂成豕。
＊【主角名】＿年十六＿城內東長街＿有妹一人＿因？？？，遂成豕。
＊靈犀＿年八＿城內東長街＿有兄一人＿隨其兄，成豕。

名列到此，你發現下方還有一行註記：已命人混入其中，安撫其心，數不可有誤。",,"※謎面：
這座廟裡的人都寫在其中，除粗工阿傑以外，遂可推論出阿傑為「內鬼」"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,※頭頂泡泡,"寫著這趟車上乘員的名冊……
……好像少了什麼？","【對話結束＋事件結束（成功）】
獲得道具：略顯怪異的名冊",←名冊可以隨時於包包中閱讀
△土丘,,,,,,
,,,若調查時【沒有】鏟子,,,
,,,※頭頂泡泡,略為松散的土丘……用手是刨不開的。,,
,,,若土丘已被挖開,,,
,,,※頭頂泡泡,裡頭已是空無一物。,,
,,,,,,
△墳墓,,,,,,
,,,調查土丘,,,
旁白,,,,（敗壁頹垣，矗立幾座孤寂土丘，你發現這其中一塊土丘前立著破敗的石碑，碑上文字有些模糊不清。）,,
旁白,,,［學識］檢查石碑文字。,,難度：５,
,,,尋找土丘較為松散之處，將之刨開瞧瞧。,,條件：學識成功後，才出現此選項（無須擲骰）,
,,,［武力］嘗試以毅力挖開土丘，看看是否藏有寶貝。,,"難度：５
先判定是否有鐵鏟→再判定成功與否",
,,,離開。,,【結束對話】,
旁白,,,"※進入學識檢定
※檢定成功",怪了，這石碑看起來像是不久前插上去的一樣，連打磨也沒有，怪扎人的，啊……！,,
旁白,,,,這兒的土摸起來也不大對勁，和旁邊相比鬆動許多……此地偏僻，誰會閒來無事到這兒翻土？,【對話結束】,
旁白,,,"※進入學識檢定
※檢定失敗",（你琢磨許久，卻仍沒能從中看出什麼端倪。）,"【對話結束】
【事件結束→失敗】",
旁白,,,※若身上沒有鐵鏟,（身上沒有工具能幫忙……得想想辦法。）,【對話結束】,
旁白,,,※若身上有鐵鏟,（你抄起方才所拿的鐵鏟，小心翼翼地挖開這意外鬆軟的墳頭土，不消半刻——）,接續下方【挖開匯流】,
主角,,,※若身上沒有鐵鏟,手上沒有工具，想想辦法。,【對話結束】,
旁白,,,※若身上有鐵鏟,（你抄起工具，提氣一鏟，只覺這墳頭土是濕黏纏人——）,,
旁白,,,"　※進入武力檢定
　※檢定成功",（吸一口氣，以勁破之，彷彿將這鐵鏟融為身體的一部分，嘗試幾回，總算是找著訣竅……）,接續下方【挖開匯流】,
旁白,,,"　※進入武力檢定
　※檢定失敗",（嘗試許久仍不得要領，你只得狼狽放棄。）,"【對話結束】
【事件結束→失敗】",
,,,,,,
,,,"※挖開匯流
△進入黑幕　停頓一秒　退出黑幕→屍體、半邊白玉珮出現",,,
旁白,,,※頭頂泡泡,"人！？
不，不對……這人已經死了。","【對話結束】
出現新可調查物『保存完整的屍身』",
,,,若重新安葬屍體後再調查,,,
,,,※頭頂泡泡,調查已了，就給人家一個安寧吧。,,
,,,,,,
,,,,,,
△安詳的女子屍身,,,,,,
,,,調查屍體,,,
主角,,一般,,一劍封喉奪其性命，想來是個高手。,,
主角,,思考,,只是，這看起來怎麼都像個普通的老婆子，面對老者仍毫無猶疑地取其性命，究竟有何深仇大恨？,,
主角,,一般,,且，屍身未腐，其傷口又有些許濕黏……莫非這屍身才新葬不久？不然，這屍身又怎會保存如此完好……,"【對話結束】
【事件結束→成功】",
主角,,吐槽,,謎團重重呀。,,
,,,第二次以後調查屍體,,,
旁白,,,,（霏雨不絕，讓那本已冰涼的屍體又透出一絲悲戚冷意。）,,
,,,將屍身重新安葬。,,,
,,,離去。,,【結束對話】,
旁白,,,△進入黑幕,,,
旁白,,,,（你將那本來的土坑挖得更深，還未免再次「誤會」，又重新擺正了那應當是充作墓碑的石板。）,,
,,,△離開黑幕　屍體消失,,【對話結束】,
△半邊白玉,,,,,,
,,,※頭頂泡泡,觀音白玉……怎會被埋藏於此？,獲得獎勵：半邊白玉,"半邊白玉【任務用品/可售】
從廟中無名女子身上落下之配飾，另外半邊不知去向。"
△掛在樹上的酒壺,,,,,,
,,,若首次調查＿無麒麟骰,,,
,,,,（抬起頭，一只黑陶材質的酒壺不知為何被掛在樹上，孤伶伶的黑陶隨風雨吹襲而搖搖晃晃。）,,
,,,,（沒有麒麟骰，甚麼也做不了……）,,
,,,若首次調查＿有麒麟骰,,,
旁白,,,,（抬起頭，一只黑陶材質的酒壺不知為何被掛在樹上，孤伶伶的黑陶隨風雨吹襲而搖搖晃晃。）,,
,,,［弓術］射出碎石將繩索打落。,,,
,,,［武力］爬上樹取下酒壺。,,,
,,,離開。,,,
旁白,,,"※進入弓術檢定
※檢定成功",（你於泥濘之中隨手找著一枚扁石，雙指一勾，手腕一轉，氣勁如旋，石子箭也似的飛出！）,,
旁白,,,,（你跨出一步，抓準位置，穩妥地接住那落下的黑色酒壺——上頭發酵與些血腥讓你一時頭暈目眩。）,"獲得道具：佛血酒
【事件成功】",
,,,※頭頂泡泡,好腥的酒味……這玩意兒怎麼會被掛在樹上？,,
旁白,,,"※進入弓術檢定
※檢定失敗",（你本想以扁石割斷綁著酒壺的繩索，然而準頭一偏，扁石朝著反方向飛去，消失在朦朧雨霧中……）,,
,,,,（……祈禱那顆石頭別砸到其他人吧。）,【事件失敗】,
,,,"※進入武力檢定
※檢定成功",,,
,,,△進入黑幕,（退步幾尺，你提氣凝神，隨後一個箭步向前，唰唰踏上枯木，大手一伸，取下凌空高掛的酒壺——）,,
,,,,（酒壺安然無恙，上頭的發酵與血腥味衝入鼻喉，讓你一陣頭暈目眩。）,"獲得道具：佛血酒
【事件成功】",
,,,"※進入武力檢定
※檢定失敗",,,
旁白,,,△進入黑幕,（退步幾尺，你提氣凝神，隨後一個箭步向前，唰唰踏上枯木，大手一伸，取下凌空高掛的酒壺——）,,
旁白,,,,（然而事與願違，你不慎踩空，頓時天旋地轉，手中物也不翼而飛……）,,
旁白,,,△退出黑幕,（那酒壺已不知去向，留下的只有屁股與腦袋撞到的疼痛，昭示你方才失手的事實……）,【事件失敗】,
,,,第二次以後調查＿事件成功,,,
旁白,,,,（繩索於風雨中飄搖……樹上什麼也不剩了。）,,
,,,第二次以後調查＿事件失敗,,,
,,,,（酒壺不知落到了哪兒……如今只剩那朽壞的繩索，在風雨中飄盪著。）,,
,,,,,,
僧人,,,,,,
,,,若首次調查,,,
僧人,,,,……,,
旁白,,,,（一人白髮蒼蒼，雙腿盤坐，正對秘道入口，紅燭搖盪，其影瘦骨嶙峋，又顯格外磣磕。）,,
旁白,,,,（紅燭黑影延長拉伸，攀附於密道天井，竟用影子成了座困不住人的監牢。）,,
旁白,,,,（密道不時傳出细若蚊蠅的誦經聲，卻在密道內百轉千迴，入耳已猶如撞鐘，令人頭暈目眩。）,,＊如果這邊能用背景樂誦經則可拔掉
旁白,,,,（連著一層皮囊的手臂高舉，掌心朝天平放，彷若正托舉著某物，細瞧，上面某個東西閃閃發光……）,,
,,,若第二次調查（尚未給出白玉）,,【對話結束】,
旁白,,,,（燭影錯落，像刺入天井的牢檻，而那身影則退於其後，就這樣困頓於幽暗之中……）,【對話結束】,
,,,若觸發白玉劇情後,,,
僧人,,,,……其心不純……持身不正……不正難得法相……如今仍受苦……,【對話結束】,
,,,,,,
密道＿半邊白玉,,,,,,
,,,若首次調查,,,
,,,△事件圖　半邊白玉,,,
旁白,,,,（此人單手伸出，旱地般的掌心裂出道道怵目驚心的裂痕，手心中央，安靜地躺著「半枚」白玉神像。）,,
旁白,,,,（那觀音透亮柔潤，就連這密道通紅也未能將其染得半分雜色。）,,
旁白,,,,（然好像是老天作弄，觀音佛性如此，卻不知為何，在中間攔腰裂開，裂口以上不翼而飛。）,,
青衣道人,,,,……,,
,,,※頭頂泡泡,捧著半邊白玉神像……莫非有甚蹊蹺？,【對話結束】,
,,,將白玉放回則觸發,,,
,,,△事件圖　完整白玉,,,
青衣道人,,,,…………,,
青衣道人,,,,此處為檻，此地為牢，有進而無出。,,
青衣道人,,,,則入此者，盡皆肝腦塗地，獻予佛子，以示法相。,,
青衣道人,,,,…………,,
青衣道人,,,,"如是我聞：「嘗有愚者，年十又五，入山悟道；
得佛子賜，春雪未化，也得悟之。」",,
青衣道人,,,,「然後愚頓，茅塞不開，眾生皆應，惟其如頑石，嚴冬來去，以此，塵俗變幻，金身蒙灰。」,,
青衣道人,,,,「獨頑石仍不悟，小時了矣，佛子哀嘆。」,,
青衣道人,,,,「終日，頑石入魔，血染佛子，無無明，屠戮眾生，佛寺盡毀，仍無無明。」,,
青衣道人,,,,……以此，佛子血性，作繭自縛，仍為頑石也。,,
青衣道人,,,,此及我也。,,
,,,第二次調查以後（已歸還白玉）,,,
青衣道人,,,,…………,,
旁白,,,,（此人說完話後便動也不動，猶如石像般。）,,
,,,第二次調查以後（尚未歸還白玉）,,,
青衣道人,,,,（此人單手伸出，就這樣捧著那半圓白玉，動也不動。）,,
,,,,,,
密道＿女性佛像,,,,,,
,,,若探查發現端倪,,,
,,,※頭頂泡泡,……？佛像底下好像寫了什麼。,,
,,,若　首次　調查佛像（需發現端倪才可調查）,,,
旁白,,,,（佛壇底下刻滿奇特經文，厚厚的褐紅汙泥中爬滿了蚯蚓扭曲爬行的陌生文字——）,,
,,,［學識］仔細閱讀佛壇下的經文。,,難度：１０,
,,,離開。,,【結束對話】,
旁白,,,"※進入學識檢定
※檢定成功",（你感覺其中扭曲，四周的景色好似逐漸變換，腥紅的房間染上無法言明的顏色，隨後神壇彷彿浮起。）,,
旁白,,,,（「……觀自在時……非煙非霧……引刀剖骨，見脈如血河，河中有蓮，蓮開九瓣，皆渡一執——」）,,
旁白,,,,（「坐於團中，逆行任脈，可化佛骨為刃……斬未盡因果……」上頭所書，竟是從未聽聞的內功心法。）,,
旁白,,,,（驚詫之際，你發覺四周景色有恢復如常……機會難得，或許可找一處運行此功？）,【事件成功】,
,,,"※進入學識檢定
※檢定失敗",（你定目細思，然而水聲，風聲，乃至自己的呼息都成了阻礙，猶若狂風大作，竟令你無法自己。）,,
,,,,（最終，你只得放棄理解那蚯蚓一樣的文字，重新站起。）,【事件失敗】,
,,,第二次以後調查佛像,,,
旁白,,,,（佛壇上的女子塑像不語，僅是扭曲肢體，你見其石膚之下，枝枒竄升，破其骨肉，掙扎竄出……）,,
密道＿調查草蓆,,,,,,
,,,若事件沒有成功,,,
,,,※頭頂泡泡,普通而簡陋的草席。,,
,,,若事件已成功,,,
旁白,,,,（若想在此領悟佛壇下的心法，應要耗費不少時間……要坐下修行嗎？）,,
,,,坐下修行。,,【推進劇情】,
,,,等等再說吧。,,【離開】,
,,,,,,
破廟＿門口,,,,,,
,,,若抵達門口＿尚未推進劇情(找到小熙),（外頭漆黑一片，只有發寒的細雨隨風落入前庭……先[em2]找與破廟中人相談，了解目前情況吧[/em2]。）,,
,,,,,【結束對話】,
,,,,,,
▼隱藏主線,,,,,,
,,,△鏡頭閉眼變黑 停頓幾秒,,,
旁白,,,,（雨聲唏哩打著頂上屋瓦，你感覺睡意緩慢湧上，竟又在不知不覺間朦朧睡去，不知過了多久——）,,
？？？,,,,表……表哥……表哥——[var=PlayerLastName]表哥……,,
,,,△睜眼鏡頭,,眾人聚集，所有人圍在門口,
靈犀,,,,表哥！醒醒，快醒醒……,,
獵戶阿偉,,,,……啊……,,
粗工阿佑,,,,……呃……,,
靈犀,,,,……表哥你快醒醒……大、大家的表情好像有些古怪……,,
,,,△一名盜匪朝主角走來,,,
？？？,,,,哼？小子你運氣挺好的啊……哈，不如說是挺背的，哪，哈！,,
,,,主角被攻擊，畫面黑掉,,,
"任務開啟
完成母任務：大夢初醒",,,,,,
,,,,,,
,,,,,,
,,,,,,
△供品木桌,,,,,,
旁白,,,若首次調查,（木桌四角雕刻著不知由來的飛禽走獸，你發覺這張木桌與破廟相比，竟意外整潔許多。）,,
旁白,,,,（三只亮如水鏡的銅盤放在桌上，盤上中央又放滿了蓮子，蓮子顆顆飽滿，未染上半點灰塵。）,,
靈犀,,,,嗯？這裡這麼破舊，應該已荒廢很久了吧？那怎麼會有供品放在桌上……,,
靈犀,,,,……嗯？表哥表哥！你看看這木桌旁邊，好像有人刻字在這兒呢！……瞧，在這裡！,,
靈犀,,,,「左置白花落，中孕蓮子來，右有鯉魚躍，何愁兮下不成孩。」,,
靈犀,,吐槽,,……神神叨叨的，什麼意思啊？,,
,,,若第二次以後調查,,,
靈犀,,,,「左置白花落，中孕蓮子來，右有鯉魚躍，何愁兮下不成孩。」……既然刻在這兒，感覺是某種暗語呢！,,
靈犀,,,,表哥表哥，我們多注意一下吧！說不定解開暗語，可以拿到甚麼寶藏呢！,,
靈犀,,,,,,
